url,title,time,narrative
https://rappler.com/newsbreak/in-depth/new-case-extrajudicial-killing-marikina,"Victim plays dead: In Marikina, a new case of ‘extrajudicial killing’",,"JUSTICE FOR KIM.” Posted a few steps away was a tarpaulin screaming the same, but with a label for Kim: “EXTRAJUDICIAL KILLING VICTIM.
bag"
https://rappler.com/nation/extrajudicial-killing-victim-marikina-burial-community-braces-for-war,"As Marikina ‘EJK’ victim is buried, his community braces for war",,"extrajudicial killing
All of us are shouting justice now. The Lord is also shouting. 'Justice!' One of his commandments is 'Do not kill.' We are with God in shouting 'Do not kill. Stop the killings’,
good conduct"
https://rappler.com/newsbreak/iq/minors-college-students-victims-war-on-drugs-duterte,"LIST: Minors, college students killed in Duterte's  drug war",,they came from behind.
https://rappler.com/nation/kian-delos-santos-memorial-caloocan-ejk-victims,"Kian memorial is for all EJK victims, too",,
https://rappler.com/nation/sws-survey-filipinos-worry-becoming-ejk-victim,4 out of 5 Filipinos worry over extrajudicial killings – SWS,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/newsbreak/in-depth/pnp-number-deaths-daily-duterte-administration&sa=U&ved=2ahUKEwiH6b-Q-LXrAhUTM94KHbYABn8QFjAFegQIABAC&usg=AOvVaw2kHWJT3dIvazec3e1x8PUt,At least 33 killed daily in the Philippines since Duterte assumed office,,"prevent the victim from divulging detrimental information to the drug trade.
heated arguments and misunderstanding, personal gain, hatred, revenge, land dispute, love triangle, family feud, atrocities, lust, work-related, road rage, and others.
Because abroad, DUI meant driving under the influence [of alcohol],"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/photos-video-baclaran-church-crucifix-jesus-extrajudicial-killings&sa=U&ved=2ahUKEwiH6b-Q-LXrAhUTM94KHbYABn8QFjAGegQIBhAC&usg=AOvVaw1WWsb5g_ypxBlszegPeMI7,LOOK: Baclaran Church reminds faithful Jesus was an EJK victim too,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/filipinos-see-many-human-rights-abuses-drug-war-sws-survey-december-2019&sa=U&ved=2ahUKEwiH6b-Q-LXrAhUTM94KHbYABn8QFjAHegQIAxAC&usg=AOvVaw1w2YgSs5Iiq9rNRib2xNO1,Big majority of Filipinos see 'many' human rights abuses in Duterte's drug war – SWS,,"many
In the course of the administration’s war on illegal drugs, would you say that the number of abuses of human rights, for example the Extrajudicial Killings or EJKs, has been… (Very many, Somewhat many, Only a few, or Very few)?
human rights crisis"
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/mass-sacrificial-victims-duterte-drug-war&sa=U&ved=2ahUKEwiH6b-Q-LXrAhUTM94KHbYABn8QFjAIegQIARAC&usg=AOvVaw0ndKZsSL7PpBA6e1XrnllE,Mass held for 'sacrificial victims' in war vs drugs,,
https://www.google.com/url?client=internal-element-cse&cx=0a1edc7cadfc7b033&q=https://rappler.com/nation/sws-survey-extrajudicial-killings-december-2016&sa=U&ved=2ahUKEwiH6b-Q-LXrAhUTM94KHbYABn8QFjAJegQIAhAC&usg=AOvVaw2a1gjUez4NXi_h7F-iaz9c,Most Filipinos 'worried' about summary killings – SWS poll,,
