url,title,time,narrative
https://newsinfo.inquirer.net/1198980/icc-update-gives-glimmer-of-hope-for-ejk-victims-kin,ICC update gives ‘glimmer of hope’ for EJK victims’ kin,"06:15 AM December 07, 2019","BONDING IN GRIEF Families from urban poor communities who lost loved ones in what they believe to be extrajudicial killings carried out in pursuit of President Duterte’s war on drugs gather for prayers at the Church-run Caritas Manila in Pandacan, Manila, in this Oct. 28, 2017 file photo. —RICHARD A. REYES
MANILA, Philippines — The chief prosecutor of the International Criminal Court (ICC) said she intended to wrap up next year the preliminary examination of the allegations of crimes against humanity that President Rodrigo Duterte committed in his war on drugs, a move welcomed by the complainants who it saw as a “glimmer of hope” that he would be held liable for the thousands killed.
In a 77-page report on Thursday that included the Philippine case, ICC Prosecutor Fatou Bensouda said she had looked into the complaints that Mr. Duterte and other senior government officials “actively promoted and encouraged the killing of suspected or purported drug users and/or dealers.”
ADVERTISEMENT







She said it was “in such context” that law enforcers and “unidentified assailants” had carried out thousands of killings throughout the country.
“During 2020, the Office (of the Prosecutor) will aim to finalize the preliminary examination in order to enable the prosecutor to reach a decision on whether to seek authorization to open an investigation into the situation in the Philippines,” Bensouda said.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

Malacañang did not immediately respond to the Inquirer’s request for comment.
In a statement in February 2018, Bensouda emphasized that a preliminary examination was a process of examining available information to determine whether she should proceed with an investigation in accordance with the Rome Statute, the treaty that created the ICC. 
A livid Mr. Duterte verbally attacked Bensouda and the ICC for acting on the complaint of crimes against humanity filed by lawyer Jude Josue Sabio in April 2017.
In August last year, a similar complaint was filed in the ICC by the National Union of Peoples’ Lawyers (NUPL) on behalf of the relatives of eight alleged victims of extrajudicial killings attributed to the President’s war on drugs.
“People are already inquiring and keenly awaiting an update on the case,” he added.
The Philippine National Police has reported that more than 6,600 have been killed since the antinarcotics campaign began on Mr. Duterte’s first day in office, but various local and international human rights groups say the death toll is in the tens of thousands.
For former Sen. Antonio Trillanes IV, one of the President’s arch critics, Bensouda’s report signaled that “justice is coming.”
ADVERTISEMENT
 


He urged PNP officers who carried out the drug killings to now decide “whether you would fall with Duterte on being liable for crimes against humanity or you would partly cleanse your crime by being a witness for the ICC prosecutors.”
“Now, let me point out the obvious,” he said. “As Duterte steps down from office in just a little over two years, he would not be able to protect you.”
“In fact, even Duterte won’t be able to protect himself,” Trillanes said.
Bensouda said the ICC “retains jurisdiction over alleged crimes that have occurred on the territory of the Philippines during the period when it was
a state party to the (Rome) Statute”— from Nov. 1, 2011, to March 16, 2019, which was the day before the Duterte government withdrew from the treaty.
She noted that the exercise of the court’s jurisdiction was “not subject to any time limit,” or even if the country were “no longer a state party to the ICC.”
“It validates our view and repudiates the Duterte administration’s weak and erroneous position on the effectivity, jurisdiction and independence of the ICC on this matter as a parallel or alternative legal remedy when victims are running out of options to turn to,” Olalia said.
“Most importantly, it validates the fact that all these years, what we have endured are self-serving and self-righteous justifications for extrajudicial killings and other acts amounting to crimes against humanity,” he said.
The ICC prosecutor said her office used “open source information,” including news reports and official statements by the Philippine government,
in examining the actions of the President and other public officials.
“Open source information indicates that a limited number of investigations and prosecutions have been initiated (and, in some cases, completed) at the national level in respect of direct perpetrators of certain criminal conduct that allegedly took place in the context of, or connection to, the (drug war) campaign,” she said.
In assessing the complains, Bensouda said her office reached out to “relevant stakeholders” and met with members of civil society organizations.


“The office has also been following with concern reports of threats and other measures apparently taken against human rights defenders, including those who have criticized the [drug war],” she said.
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1210965/46-slain-in-soccsksargens-war-on-drugs-in-2019,46 slain in Soccsksargen’s war on drugs in 2019,"05:19 PM January 09, 2020","GENERAL SANTOS CITY –– The number of drug suspects slain during police operations in the South Cotabato, Cotabato City, Sultan Kudarat, Sarangani, and General Santos City (Soccsksargen) region markedly decreased by 70 percent last year compared to 2018, the regional police here reported.
Lt. Col. Lino Capellan, regional police spokesperson, said only 46 drug suspects were killed during police operations in 2019 compared to 154 slain in the previous year.
ADVERTISEMENT







He attributed the decline to the “reduced number of drug
personalities who resisted arrest, or those who engaged police in a shootout.”
He also said the decline in number could indicate that “fewer people engaged in illegal drugs” amid the government’s aggressive anti-drug campaign.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

He claimed, however, that many of the 46 persons killed “resisted arrest.”
“No rubout, no extra-judicial killing, these were all legitimate law enforcement operations,” Capellan said on the number of people killed during police raids. 
He said police seized about P60.1 million worth of illegal drugs during the 1,528 operations conducted for the period.
A total of 7,887.26 grams of shabu and 5,615.05 grams of marijuana were recovered.
Brig. Gen. Alfred Corpus, PRO-12 regional director, also reported at least 60 illegal firearms and 17 explosives confiscated by the police last year.
Capellan also noted a 22-percent drop in the number of drug
personalities the police arrested during the period.
A total of 1,576 drug personalities were arrested in 2019 and
were eventually charged. He claimed that of those arrested, 1,141 were drug peddlers and 435 were users.
ADVERTISEMENT
 


Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1276004/drug-war-killings-rose-in-central-visayas-under-sinas-watch-as-regional-police-chief-chr-7,Drug war killings rose in Central Visayas under Sinas watch as regional police chief–CHR-7,"08:37 AM May 16, 2020","Brig. Gen. Debold Sinas, director of the National Capital Region Police Office (File Photo from NCRPO)
CEBU CITY, Philippines – The war on drugs in Central Visayas escalated when Major General Debold Sinas was its top policeman.
But his stint in the region was marred by the rise of unsolved killings of people linked to the illegal drugs trade, said lawyer Alvin Odron, director of the Commission on Human Rights in Central Visayas (CHR-7).
ADVERTISEMENT







“He (Sinas) had a colorful stint here in the region. During his watch, the number of killings definitely increased,” he told the Inquirer over the phone.
Odron, however, was not able to provide the figures as his documents were left in his office. Sinas was director of the Central Visayas police from July 2018 to October 2019 before he was assigned at the National Capital Region Police Office.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

CHR-7 chief investigator Leo Villarino said Sinas would always be remembered as the police official who was firm in his decision not to give human rights investigators copies of police reports on the various killings in the region.
“While we appreciate his relentless campaign against illegal drugs in Central Visayas, there were just so many killings under his watch as police director here,” he said. 
“The CHR-7 is conducting an investigation on these killings although we failed to get the documents from the police,” he added.
Jaime Paglinawan of Bayan Muna Central Visayas described Sinas as a “severe human rights violator” when he was Central Visayas’ police director.
“Aside from several persons killed during his anti-drugs campaign, a number of farmers accused as members of the New People’s Army in Negros Oriental were also killed during his watch,” Paglinawan said.
“And his usual defense was these persons tried to shoot it out with the police. That’s how we remember him (Sinas),” he added.
Sinas had repeatedly explained that it was just normal for his men to protect themselves from unlawful aggression.
ADVERTISEMENT
 


‘Picture speaks for itself:’ Charges readied vs Sinas

Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1008295/killings-create-climate-of-lawlessness-lp,‘Killings create climate of lawlessness’ – LP,"07:25 AM July 09, 2018","POLITICS EYED Police say politics may be behind the killing of Trece Martires Vice Mayor Alexander Lubigan in front of this gym at Barangay Luciano. —RICHARD A. REYES
The opposition Liberal Party (LP) has warned that the series of killings of local officials could be orchestrated to create an “atmosphere of lawlessness” that would give the Duterte administration grounds for the imposition of martial law.
Mayor Antonio Halili of Tanauan City, Batangas province, who had been linked by President Rodrigo Duterte to illegal drugs, was shot dead by a sniper during flag-raising rites in front of City Hall on Monday.
ADVERTISEMENT







On Tuesday afternoon, motorcycle-riding gunmen killed Mayor Ferdinand Bote of General Tinio, Nueva Ecija province.
On Saturday afternoon, gunmen in a black pickup fired on a vehicle carrying Vice Mayor Alexander Lubigan of Trece Martires City, Cavite province, killing him outright.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

Bote and Lubigan had no known links to drugs. Police said no clear motive for the attack on Bote had emerged yet but they were looking at politics in the killing of Lubigan.
Atmosphere of lawlessness 
“What is going on? Are these deliberate and orchestrated attempts at creating an atmosphere of lawlessness to justify strongman rule?” Sen. Francis Pangilinan, LP president, said in a statement on Saturday.
“Another local executive in Luzon and two more in Mindanao were killed today even before authorities can provide the lead to the killing of two mayors earlier this week. The warehouse of suspected drug lord Peter Lim in Cebu was bombed on Thursday,” Pangilinan said.
The senator was referring to the killing in separate attacks on Saturday of Michael Magallanes, 38, a newly elected village councilor in Zamboanga City, and Nassif Palawan Bansil, 31, a municipal councilor of Kapatagan, Lanao del Sur province.
The LP leader said the Philippine National Police must take immediate action to solve the high-profile killings.
“A swift, sure and lawful move by the PNP to bring the killers behind bars is what the public awaits. At the same time, the police must ensure visibility, especially in key critical areas to prevent another bloody incident,” he said.
ADVERTISEMENT
 


“What we want is a safe, secure and peaceful society, not a gangster land,” he added.
Sen. Bam Aquino said the assassination of Lubigan showed the extent to which violence had become the norm.
“For violence to stop, the government must stop using force. If they keep using violence as the solution to the country’s problems, our society will not be peaceful and safe,” Aquino said.
Nothing to worry about
But PNP Director General Oscar Albayalde said the people should not be worried over the killings of local officials.
“We should not have any worries. We should not be afraid,” Albayalde told reporters in Albay province on Saturday when asked about the killings of Halili, Bote and Lubigan.
“These [killings] are not systematic. There is no pattern. We do not know if this involves politics. There are a lot of possible reasons,” he added.
The PNP chief said a thorough investigation of the killings was going on.
“We know that here in our country, every election season, although it is puzzling, before, during and after the election, there are elected officials who die,” he said.
Police said Lubigan had “no known enemy” and that they had ruled out illegal drugs.


Politics
Investigators said they were looking at politics behind the attack on Lubigan, as the vice mayor told people close to him on Friday that he intended to run for mayor in next year’s midterm elections.
“Initially, what we are looking at is politics,” said Chief Supt. Edward Carranza, director of the Calabarzon police.
Asked for details, Carranza said Lubigan was serving his last term and that investigators had received information that the vice mayor told people close to him on Friday that he would run for mayor in 2019.
In 2016, Lubigan ran as a candidate of the United Nationalist Alliance. Mayor Melandres de Sagun, who is also serving his last term, belongs to the same political party.
De Sagun is on leave.
“Trece Martires has this [record] of intense political rivalry,” Carranza said, but he declined to name any politician who might be involved in the attack on Lubigan.
In recent elections, however, candidates from local political clans have been running unopposed.
Cavite Gov. Juanito Crispin Remulla said the last election-related violence recorded in the province was about 11 years ago, but added that he, too, would describe as “hot” the political climate in the provincial capital. —WITH REPORTS FROM MICHAEL JAUCIAN AND MARICAR CINCO
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1043822/soccsksargen-death-toll-in-war-on-drugs-270,Soccsksargen death toll in war on drugs: 270,"05:33 AM October 17, 2018","GENERAL SANTOS CITY — President Rodrigo Duterte’s bloody campaign against drugs has killed at least 270 suspects in the Soccsksargen region in Central Mindanao since he launched it upon assuming power on June 30, 2016.
Of the figure, 256 were alleged drug pushers killed during police operations from July 1, 2016 to Oct. 8, 2018, data obtained by the Inquirer from the regional police office showed.
ADVERTISEMENT







Fourteen drug users were killed during the period, the data showed.
“Admittedly, the drug menace in the region remains, but it is not as worse anymore as before,” said Supt. Aldrin Gonzales, regional police spokesperson.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

Chief Supt. Eliseo Rasco, Soccsksargen police director, said fighting drugs remained to be the priority of police.
Cop suspect 
One of those killed was PO1 Rommel Barcellano, alias “Banjo,” 38, an intelligence agent of the South Cotabato police office.
Barcellano was supposedly on Mr. Duterte’s drug watch list. The policeman’s family denied he was involved in the drug trade.
Police carried out the war on drugs through two main strategies—“Oplan Tokhang” and “Oplan Double Barrel.”
Tokhang, derived from the Visayan words “toktok” (knock) and “hangyo” (plead), was supposed to be a bloodless method wherein police simply ask suspects during home visits to mend their ways.
Tokhang, however, had become associated with the bloodshed that characterized Mr. Duterte’s antidrug campaign.
ADVERTISEMENT
 


Davao tactic
The President used the scheme to fight drugs in Davao City when he was still its mayor.
Human rights and religious groups have criticized the killings because most of the dead came from the poor.
In his third State of the Nation Address in July, the President reiterated that his antidrug campaign would be “chilling and relentless.”
In Soccsksargen, police data showed 42,946 individuals (40,327 suspected users and 2,619 suspected pushers) surrendered or presented themselves to authorities after 492,773 Tokhang visits by police since Mr. Duterte became President.
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1043829/killing-is-new-normal,‘Killing is new normal’,"05:35 AM October 17, 2018","CULTURE OF IMPUNITY A police tape prevents kibitzers from getting near the body of an unidentified man killed during an antidrug operation in Talisay City, Cebu province. —LITO TECSON/CEBU DAILYNEWS
An outspoken Church critic of killings associated with President Rodrigo Duterte’s antidrug campaign appealed to people not to get numbed by the daily bloodshed they saw on the streets, warning that time would come when relatives of those unjustly slain would seek justice through revenge.
“Violence begets violence,” Caloocan Bishop Pablo Virgilio David said in an interview.
ADVERTISEMENT







“The drug war has bred a culture of impunity. Killing has become a new normal,” he said.
Routine bloodshedFEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

“People just watch and go on with business as usual. They have even gotten used to watching the killings as they happen and go past the victims unaffected,” he added.
“Children are exposed to so much violence,” David said. 
David and a group supporting relatives of victims of street executions denounced what they said was the unabated violence and impunity which had become routine following the launch of the President’s antidrug campaign, which he had described as “chilling and relentless.”
David said what alarmed him was the possibility of some victims’ families resorting to violence to bring justice to their loved ones.
Devastating impact
He also expressed fears for people reported missing after they had been linked to drugs.
“We’ve had cases of people abducted before, but their dead bodies were usually dumped a few days later,” David said.
ADVERTISEMENT
 


Baigani, a group that supports wives, mothers and children of summary killings, said losing a parent might have devastating effects on children.
“Many of the families affected by the war on drugs are young families with children as young as newborns, and the rest are in their teens,” the group said.
“Left by one or both parents who have been killed or incarcerated, the young children are thrown into deep poverty with no support from the government at the local or national level,” it said.
Baigani was set to publish later this year a study conducted in three Metro Manila cities on the impact of the drug war on families.
It was prepared with Miriam College Department of Social Work, Ateneo de Manila University Department of Psychology and the Diocese of Novaliches.
David said he and Baigani continued to monitor drug-related killings in the Diocese of Kalookan, which comprised Caloocan City-South, Malabon City and Navotas City.
From Oct. 7 to 12 alone, the diocese recorded six summary killings in Caloocan, including the shooting of PO1 Marvin Anthony German at the village of 46.
German was shot by two motorcycle-riding assailants.
Regular occurrence
The list of people killed by motorcycle-riding men also included Noel Aljezera, 41, a known addict who was shot and killed on an overpass along Edsa at Bagong Barrio, Barangay 138, past 7 p.m. on Oct. 7.


PO3 Ernesto Estrellas, 37, was shot along C3 Road the following day.
On Oct. 10, around 10 p.m., 26-year-old single mother Clariz Marie Ocampo was also shot and killed by unknown assailants along Don Vicente Ang Street at Bagong Barrio.
Police later tagged Ocampo as a possible “police asset” and said a sachet of “shabu” (crystal meth) was found in her pocket.
Baigani said the sudden loss of a mother, like Ocampo, in a family could lead to worse events for children.
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1009537/redemptorists-say-atmosphere-of-fear-anxiety-has-enveloped-ph,"Redemptorists say atmosphere of fear, anxiety has enveloped PH","07:04 AM July 12, 2018","CEBU CITY—The Redemptorists are calling on Filipinos to wake up and fight the culture of impunity and violence in the country.
In a statement released on the 33rd anniversary of the abduction of Redemptorist priest Rudy Romano on Wednesday, the congregation said the atmosphere of fear, violence and anxiety enveloped the Philippines.
ADVERTISEMENT







“The growing culture of impunity and apathy in our country which motivated heartless people to kill helpless brothers and sisters, including priests and pastors, are ominous signs that the evil spirit and its willing minions are determined to hurt Jesus through his Holy Church,” said the statement signed by Fr. Ariel Lubi, superior of the Redemptorists’ vice province of Manila, and Fr. Copernicus Perez Jr., superior of the congregation in Cebu province.
‘Be voice of voiceless’FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

“We cannot allow this to continue to happen. We beseech our fellow Filipinos to be vigilant and be the voice of the voiceless and no longer idly stand by in the face of Church persecution and blatant assault on the human rights of our people,” it added.
Romano, an activist priest, was abducted by armed men in Barangay Tisa, Cebu City, on July 11, 1985. He was never seen again. 
His disappearance was remembered by friends, seminarians and members of the clergy with a Mass and lighting of candles at Redemptorist Church as well as a prayer service at a stone marker in Tisa, which describes the kidnappers as agents of “the deposed Marcos regime.”
Romano, 44, identified himself with the poor and joined protest actions denouncing human rights abuses.
“Thirty-three years have passed, and still no justice for Father Romano and other victims of martial law,” the statement said.
“Our mourning and lamentations become more intense and profound as we continue to witness these days the brutal deaths of our flocks, including our shepherd,” it said.
‘Stop killing our people’
ADVERTISEMENT
 


The Redemptorist community appealed to the government: “Stop Church persecution. Stop killing our people.”
While the statement did not mention any names, the congregation was clearly alluding to President Duterte, whose brutal war on drugs has killed thousands of small-time drug users and pushers.
Fr. Crispin Mostajo, parish priest of Our Mother of Perpetual Help Church in Cebu City, said the series of killings in the country was alarming.
Three priests were among those killed.
On April 29, Fr. Mark Anthony Ventura, a human rights and antimining advocate, was shot dead after saying Mass in Gattaran town, Cagayan province.
On June 10, Fr. Richmond Nilo of the Diocese of Cabanatuan was shot by unidentified men while he was preparing to say Mass at Nuestra Señora de las Nieves Chapel in Zaragoza, Nueva Ecija province.
A suspect in the killing of Nilo was arrested by police last Thursday.
On Dec. 4, 2017, Fr. Marcelito Paez was shot dead by motorcycle-riding men in Jaen, Nueva Ecija.
Paez, a retired priest, had facilitated the release of a political detainee.
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1028880/war-on-drugs-cabatuan-drug-bust-iloilo-ejks,Suspect shot dead during drug buy-bust in Iloilo,"09:00 PM September 05, 2018","ILOILO CITY — A police officer shot dead a village councilman, who was a suspected drug dealer, Wednesday night during a buy-bust operation in Cabatuan town in Iloilo province.
Jonathan Baron, 56, died from two gunshot wounds in the chest. The officer who shot him was the one who posed as a buyer at the local official’s house in Barangay Jelicuon Montinola in Cabatuan, according to Senior Insp. Sullen Domingo, chief of the Cabatuan Municipal Police Office.
ADVERTISEMENT







Physicians at the Ramon Tabiana Memorial District Hospital pronounced Baron dead on arrival.
Police chief Domingo alleged that Baron fired a .22-caliber revolver three times at the police officer but missed twice. His third shot misfired.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

According to Domingo, Baron previously surrendered during the Operation Tokhang but remained on the drug watchlist of Cabatuan and Calinog towns.
Police arrested Baron’s 21-year-old daughter Janna for allegedly acting as an accomplice in the drug transaction. 
Anti-drug police operations have resulted in six dead suspected drug pushers in 10 days in Iloilo and Antique provinces.
At least 63 drug suspects have been killed in police operations in Western Visayas since July 2016 in the so-called war on illegal drugs ordered by President Rodrigo Duterte.
More than 10 others have been killed by unidentified assailants in the region. /atm
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1028961/armed-men-kill-fifth-mayor-on-duterte-drug-list,Armed men kill fifth mayor on Duterte drug list,"07:12 AM September 06, 2018","LIVING IN FEAR Mayor Mariano Blanco III of Ronda town, Cebu province, had been worrying about his safety sincePresident Duterte announced that he was among local officials involved in drug trafficking. —CEBU DAILY NEWS FILE PHOTO
CEBU CITY — A mayor tagged as a “narcopolitician” by President Rodrigo Duterte in 2016 thought he was safe inside his office at the municipal hall.
But around 1 a.m. on Wednesday, armed men barged into his office and killed Mayor Mariano Blanco III of Ronda town, 82 kilometers southwest of Cebu City.
ADVERTISEMENT







His live-in partner, who was in an adjacent room, was unhurt.
Blanco’s killing came seven months after his nephew, Vice Mayor Jonnah John Ungab, was gunned down by unknown assailants outside Cebu City’s courthouse in February 2018. Ungab, a lawyer, had served as legal counsel to confessed drug lord Kerwin Espinosa.FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

“I didn’t expect this to happen. I’ll take over as mayor, but I’m saddened by the turn of events,” said Rocky Gabutan, the current vice mayor, as he wiped away tears.
Stripped of police control 
Blanco, 59, was the fifth to be slain among mayors the President had publicly linked to the illegal drug trade.
Killed were Mayors Antonio Halili of Tanauan City, Batangas province, on July 3; Samsudin Dimaukom of Datu Saudi Ampatuan, Maguindanao province, in October 2016; Rolando Espinosa of Albuera, Leyte province, in November 2016; and Reynaldo Parojinog Sr. of Ozamiz City, Misamis Occidental province, in July 2017.
Blanco was among more than 20 local officials stripped of control over the local police in October last year after the President linked them to the drug trade.
Since then, Blanco had feared for his life and even altered his routine, such as spending the night in his office several days of the week, for his safety.
At past Tuesday midnight, a white van arrived at the municipal hall, according to police investigators. Four persons alighted and, at gunpoint, ordered two watchmen to drop to the ground.
ADVERTISEMENT
 


Burst of gunfire
“After a second, a burst of gunfire was heard from the mayor’s office and then the unidentified persons left,” SPO1 Dionisio Tagopa, one of the investigators, told the Inquirer.
The watchmen ran up to the mayor’s office and found him bloodied while sitting on a wooden bench in front of the television. Blanco was pronounced dead at the hospital.
“The mayor was there as he was sleeping in his office,” said Senior Insp. Jayr Palcon.
The two policemen manning a police station, four meters away from the municipal hall, did not hear the gunfire because of the rain, and failed to quickly respond to the shooting, Tagopa said.
Under surveillance
The rest of the lawmen were out to serve an arrest warrant against a crime suspect, he said.
“It just happened that many of our policemen were not here,” Tagopa said.
Celia Gabutan, municipal revenue collector, said the killers might have cased the mayor before the killing since they went up the same stairs that only he used.
“The mayor has been sleeping at his office for some time already. The suspects must have known this,” she said.


The municipal hall is neither manned by security guards nor equipped with closed-circuit television.
Blanco, in an earlier interview, said he was worried about his safety after his name was dragged into the drug trade.
“I’m afraid I might be assassinated. I just hope that they will understand that I had never been involved in illegal drugs,” he said.
“I’m really shocked. I have been serving the town for 22 years now, and my name was never besmirched until this issue came,” he added.
Blanco served as municipal councilor in 1995 before he was elected mayor in 1998, a position he held for nine years. In 2007, the term limit forced him to run for vice mayor; he won.
Blanco was reelected mayor in 2010, 2013 and 2016. —WITH REPORTS FROM INQUIRER RESEARCH AND AFP
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
https://newsinfo.inquirer.net/1031522/suspected-drug-gang-member-killed-7-nabbed-by-makati-cops,"Suspected drug gang member killed, 7 nabbed by Makati cops","05:42 AM September 13, 2018","An alleged member of a drug-trafficking group — whose leader was on President Duterte’s “narcolist” — was killed by the Makati City police in an operation that ended in neighboring Pasig City on Tuesday.
Seven other suspected members of the Manite gang, which authorities also linked to gunrunning, were arrested.
ADVERTISEMENT







Prior to the operation, a team from the Station Drug Enforcement Unit (SDEU) of the Makati police received a tip about a meeting taking place Tuesday afternoon between two groups, one of which was led by a woman known as “Ganda,” on  Bunyi Street, Buting, in Pasig.
Insp. Jeson Vigilla, the SDEU chief, said that when they arrived at the area, they spotted the gang members in a white Toyota Vios (CSC311).FEATURED STORIES
NEWSINFO
Senate panel report: PhilHealth exec ‘getting a lap dance’ during birthday bash

NEWSINFO
Duterte says his Barrett’s esophagus may worsen to stage 1 cancer

NEWSINFO
Plunder eyed vs ex-PhilHealth exec, Manila Archdiocese, hospital over ‘missing’ P170M

As the police moved in, one of the passengers fired at them, setting off a running gun battle that ended with the Vios being cornered on A. Tanangco Street.
One of the suspects, a certain “Topher” from Comembo, Makati, was killed. 
An SDEU member, PO1 Tinpee Merdegia, was wounded.
The three other passengers of the Vios surrendered, among them “Ganda,” a call center agent whose real name was Theresa Elva de Paz. The others were identified as John Rapsing, a former Army soldier; and Daniel Novie Bernardo.
Father and son
Four other gang members were arrested on Bunyi Street—Mark Tampos, Joharah Sally Imogbel, Jennelyn Borromeo and Jhon Michael Caliboso.
The police said they found five plastic packets of “shabu” (crystal meth), a digital weighing scale and a .45-caliber Kimber Ultra Carry pistol inside their suspects’ vehicle.
ADVERTISEMENT
 


Norman Ace Manite, the alleged leader of the group, remains at large.
His father, Romilo, whom police had also accused of serving the group, was arrested on Aug. 29.
Subscribe to INQUIRER PLUS to get access to The Philippine Daily Inquirer & other 70+ titles, share up to 5 gadgets, listen to the news, download as early as 4am & share articles on social media. Call 896 6000.
We use cookies to ensure you get the best experience on our website. By continuing, you are agreeing to our use of cookies. To find out more, please click this link."
