term,frequency
feeling,0.9744648675735063
felt,0.832848431628671
tend,0.5430374194818023
feel,0.5421285515564569
loss,0.4770001081267219
little,0.4237347319263348
used,0.4178486236904579
trouble,0.41371236070544104
interest,0.4112965814786787
things,0.3812943977099407
moving,0.37505482406008117
people,0.35461374666888157
family,0.33671591663536704
energy,0.3335671356288016
change,0.3161592785264208
usual,0.3007890569424228
sleeping,0.2978824752144956
tired,0.29202178506095783
appetite,0.29108534875842385
life,0.2861547297723019
time,0.2714250943429094
get,0.267298302919841
sleep,0.26315415946961085
much,0.2580286950839949
could,0.25203434346630094
friends,0.24460075983220725
would,0.24121379323080572
lost,0.2387706421088331
asleep,0.23620731989629423
pleasure,0.22677358362186936
thoughts,0.22634173310317807
work,0.21948774276198485
restless,0.21763894771118827
depressed,0.21763894771118827
poor,0.21763894771118827
failure,0.21671454767647694
lot,0.21606184821741203
sad,0.2130368881672081
activities,0.21235673923022663
look,0.20892431184522894
hopeless,0.2075839895244274
like,0.19639153452369634
difficulty,0.19540791143308606
staying,0.18752741203004059
falling,0.18752741203004059
overeating,0.18752741203004059
hu,0.18752741203004059
concentrating,0.18752741203004059
reading,0.18752741203004059
ing,0.18752741203004059
opposite,0.18752741203004059
dead,0.18752741203004059
newspaper,0.18752741203004059
television,0.18752741203004059
better,0.18752741203004059
speaking,0.18752741203004059
around,0.18752741203004059
fidgety,0.18752741203004059
slowly,0.18752741203004059
watching,0.18752741203004059
decisions,0.18198336536768875
sex,0.18198336536768875
crave,0.18101247316060076
sweets,0.18101247316060076
worried,0.17907798158162483
bad,0.17565312725240234
noticed,0.17565312725240234
less,0.17306001772088972
let,0.17209790255366597
weight,0.17011955492765976
worse,0.16907906451074756
way,0.16292733549268568
spells,0.16032369234074445
crying,0.16032369234074445
cry,0.14923165131802069
anything,0.14923165131802069
future,0.14689914627534711
good,0.14689914627534711
well,0.14499923318184876
low,0.1343439479183473
discouraged,0.1338237027098912
making,0.1338237027098912
satisfaction,0.1338237027098912
everything,0.12281931494644835
even,0.12237141187011398
level,0.12067498210706717
mood,0.12067498210706717
overall,0.12067498210706717
eat,0.12067498210706717
found,0.12067498210706717
morning,0.12067498210706717
evening,0.12067498210706717
afternoon,0.12067498210706717
gain,0.12067498210706717
starches,0.12067498210706717
including,0.12067498210706717
guilty,0.11938532105441654
make,0.11938532105441654
punished,0.11938532105441654
irritated,0.11938532105441654
unhappy,0.10974387138099242
health,0.10974387138099242
blue,0.10617836961511332
