term,frequency
market,4.699291414376647
typhoon,4.690809003133942
damaged,4.296917876501235
house,4.1401175258452785
us,3.757867135226571
water,3.552820106195563
could,3.5255944002691986
didnt,3.4057151684145373
would,3.3580298733816027
strong,3.276433382062501
everything,3.2222267402673497
like,3.189320035796062
people,3.181414724540146
roof,3.11609763508248
home,3.041506802096121
one,2.8921016351632867
time,2.8704533713036207
even,2.857412181309973
really,2.834523245830176
see,2.6420378363758443
went,2.6297152657303187
back,2.615859367769604
almost,2.543585763323932
got,2.4830347379613693
still,2.441776500268399
houses,2.4295034997471383
wind,2.413343261235861
saw,2.3888971458641333
many,2.3831475078436757
trees,2.345777439831044
left,2.3443853321876325
school,2.254243507004665
winds,2.242512213364281
thought,2.1880376313472523
day,2.16738531025379
products,2.1659514421398867
know,2.1274481146479842
get,2.1120496500211203
first,2.0609944831368954
around,2.0538969495556487
hit,2.0532641340673283
experienced,1.9877598986021523
family,1.9435468316816578
since,1.925275615963167
eahquake,1.912443769250762
town,1.9031266928665704
came,1.9018542799950469
municipal,1.8986357862444299
experience,1.8787258682103345
go,1.8702803311933753
expect,1.8535805312822566
storm,1.8450639102953554
staed,1.8381256378784048
power,1.8235146428210114
destroyed,1.7375539459969633
damage,1.735274842056329
debris,1.6993157950229498
outside,1.6986850865747907
car,1.688529681874766
way,1.6862579926794317
livelihood,1.6780181555526181
also,1.655346458937525
inside,1.6535246381519384
going,1.6423669665386265
never,1.6172785618582655
two,1.604582469779125
took,1.596196688903163
made,1.563151950861674
felt,1.55964095803218
dont,1.5464819037571633
everywhere,1.5403318403145365
hall,1.5315590657751315
road,1.522396076232744
looked,1.516365914629216
away,1.5142512680718658
night,1.513222924688197
remember,1.5109313115095662
devastated,1.5108540409598818
told,1.506547533710227
fire,1.4874712538725496
three,1.4767238939417933
stopped,1.473145093520302
sta,1.4460152725835513
days,1.442210116093531
work,1.4216826188727152
building,1.4204721338481785
typhoons,1.4119960788689376
coming,1.385975978295835
world,1.3847321696829555
used,1.3805926181906654
things,1.3546709169263313
much,1.347748849357896
everyone,1.32794057338922
end,1.326595637592718
found,1.3179263277089506
tsunami,1.316947098823719
enough,1.3165558953566165
every,1.3151542088572683
sound,1.3060484726507762
able,1.302156809827779
sea,1.3014084927017697
lives,1.2992912977926778
struck,1.2930571552178496
mother,1.2930032971312901
children,1.2911814373240385
new,1.2889428217472247
whole,1.284832025321024
beach,1.2830179443684848
right,1.273927480624729
come,1.260939140283076
tornado,1.2583681448212598
worst,1.2541490181994321
door,1.2390685334467701
high,1.23327470960602
says,1.2252434128788472
center,1.2208107769260474
next,1.2171200353942142
rain,1.2166909504550878
shit,1.2148783419554168
windows,1.2105136496105295
crying,1.2083583350118605
knew,1.20330538063112
front,1.196572343894051
later,1.1961569679848854
another,1.1901414499510998
friends,1.1843919281854085
disaster,1.1769381066620752
community,1.173834312717063
life,1.1697130608145343
roofing,1.161604079584683
feel,1.1603209286139282
ground,1.1600439963865874
morning,1.1596970256026196
thing,1.1589631870815824
died,1.1585386489195661
old,1.1484730983761546
entire,1.1470227682645493
shaking,1.1346068578144801
oh,1.1289965102113677
wet,1.123992432828644
cannot,1.122436738113625
big,1.1111378964615721
yet,1.1106608071731374
afterwards,1.105943674160626
side,1.1051166071935499
wife,1.1050325247124198
heard,1.1019175327008672
nothing,1.0881965689902755
stall,1.087977809509072
lot,1.0858666766736844
strength,1.0794383523022146
food,1.0774137055794641
moment,1.0743441078187927
river,1.0689905136866382
kind,1.0612456296360293
dead,1.0598008519786513
usually,1.055679672625845
terrifying,1.0528479535718442
neighbors,1.0514076493834963
terrible,1.037463535315737
floor,1.035517989451412
years,1.034452366521599
office,1.0327119381609757
safe,1.0309157168361256
lived,1.0226021694566643
stalls,1.0202906460402932
already,1.018059717758743
chaos,1.0167799517091023
money,1.0122399345047037
buildings,1.0039171742974788
real,0.9992525336689757
getting,0.990498943860311
living,0.9849877866251575
fell,0.9832744264237157
street,0.9812099573857418
local,0.9808309765210478
hotel,0.9777557719887787
little,0.9761494896628962
blown,0.9661449228138554
look,0.9653901931748158
help,0.964991025092286
fear,0.9623798563907197
others,0.9521391492829577
something,0.9509843759437969
room,0.9472104556995932
dad,0.9467178205990816
strongest,0.9428540985460252
wave,0.9424174477338635
seen,0.9388087373832031
ever,0.9360299000530214
well,0.9352415114526238
father,0.9339665534457869
glass,0.9318468495281457
super,0.9302992233096515
quake,0.9219081335935424
either,0.9172161295505644
began,0.9167300584962799
badly,0.9133212061342968
selling,0.9104906514164113
make,0.9075809426487698
areas,0.9074918977470364
survive,0.9051638056223525
place,0.9019345731895655
werent,0.9007099355885617
air,0.8997254146457251
hours,0.886247929567062
called,0.8841161986225732
gone,0.8840674793231966
radio,0.8837794960269421
mud,0.8834030777584958
tide,0.8786104669147641
across,0.876765188650111
lost,0.8714571924847648
huge,0.8677108191541679
brother,0.8674107707075838
minutes,0.862340948081924
moved,0.86206271264214
happened,0.8615463616763247
weather,0.8600693918345563
area,0.8537201559093269
kids,0.8493506453230121
son,0.8485448438803445
chaotic,0.8463762723399658
immediately,0.8448707814858418
leave,0.8433684759595437
wharf,0.8425806395556572
parents,0.8425700004932364
sister,0.8369271064860361
arrived,0.8368306214411922
id,0.8289245511418146
seemed,0.8284906307555537
rising,0.8251921054764031
eventually,0.8238706329471895
pa,0.8227527992739875
tree,0.8210688616615363
hadnt,0.8189122534677364
cried,0.8163601807352014
news,0.8150816101693782
washed,0.8130040202495065
evacuation,0.8113385232638173
prepared,0.8113135485930695
small,0.8105315276072308
especially,0.8086100023052808
longer,0.807960335129383
bodies,0.8077280727592614
imagine,0.8076023129845216
quite,0.7991548112381124
grabbed,0.7990489982943132
kept,0.7980564152550568
lucky,0.7975121833589156
brought,0.7971751950681708
exposed,0.7970143591804788
continue,0.7950221242801955
city,0.7943050005830381
aside,0.7941594378002731
onto,0.7909419117073331
flood,0.7882836721369157
eye,0.7877341273522459
roofs,0.7858575726744756
goods,0.7846949580124313
eat,0.7834391230905464
shop,0.7829111298877496
think,0.7825294730517165
wooden,0.7813206881394421
behind,0.7787834220472479
might,0.7771593882153681
hear,0.7743007363944278
sky,0.7725961019532838
train,0.7702653739951667
clear,0.7700927831401476
standing,0.7697405336956518
anything,0.7688391712466075
half,0.7685245701073055
needed,0.7679695604795185
collapsed,0.7625150358079438
flew,0.7615246575933898
saying,0.7594224219353252
turned,0.7594184045092435
run,0.7590482210398688
stolen,0.7588792277399413
last,0.7579025685987212
good,0.7555495229638165
eastern,0.7536548019201635
long,0.7519090373578395
normal,0.7502606144165508
use,0.7469662350389789
lines,0.7456120086176424
sad,0.745196722493357
passengers,0.743419804869565
bricks,0.7425209699478281
evacuate,0.7417731109512185
thats,0.7400215573727604
sure,0.7392881781599715
flying,0.7374898567152589
tried,0.737440594134323
im,0.73319827141863
total,0.729586460431251
mom,0.7286907333681978
mountains,0.7286106516389894
recovering,0.7281731360162358
beside,0.726120904066186
cars,0.725735821048535
expected,0.7257111147326167
asked,0.7222875357377674
walking,0.7205740429079086
bad,0.7197032315134516
ran,0.7193728193223335
noise,0.7190072622132274
stayed,0.7176630872763461
main,0.7172477385930772
near,0.715547689184594
open,0.713015295255278
equipment,0.7050606293800996
devastation,0.7031863156637794
happen,0.7003010802904979
beyond,0.6997504168058055
point,0.6997165899156422
second,0.6967280911539139
weeks,0.6958582124875867
towards,0.6941186425664517
though,0.6940954363139406
samar,0.6934855836993071
streets,0.6931852787643756
large,0.6905919416694607
live,0.6897307827613413
stripped,0.6894922359343707
watching,0.6863345816959481
take,0.6850608507353473
rained,0.6849218661066978
table,0.6825307689992113
affected,0.679584096982634
falling,0.6785964782430006
times,0.6773747057483557
difficult,0.6770094409685001
child,0.675715029142253
rains,0.67393557884099
allowed,0.6671451071476742
god,0.666289584686947
including,0.6656787273719339
casualties,0.6641863380878907
jumped,0.6639547299902111
worse,0.6625752824632631
mess,0.6592564690750252
coconut,0.6582155926201574
piece,0.6578017871497543
walls,0.6565705446365021
doors,0.6540257043994965
wasnt,0.6531445472429339
fish,0.6524050105538746
course,0.6515548218081613
ended,0.6501408041764952
stop,0.6497114227718433
bed,0.6473735209341913
feeling,0.6469295831971862
completely,0.646859083549428
seeing,0.6460855013205452
decided,0.6460214231731782
doorway,0.6452125209731295
wrong,0.6445324187265669
stay,0.6441959677378423
watch,0.6436129048993636
tent,0.6431930936543531
blew,0.6430851033061764
soon,0.6419117586037332
sheets,0.6382306107894776
prepare,0.6374420129125559
relief,0.6318201982494526
far,0.6295084420936351
hurricane,0.629246798589733
four,0.628141927481855
roads,0.6276458108485898
scared,0.62383634319955
buy,0.6218717083324055
terrified,0.6203343085557105
hour,0.6201696237550617
lift,0.6158912490107953
week,0.6126681012208447
done,0.6098113785186812
located,0.6085469447141165
event,0.607526422155853
neighborhood,0.6049690809905975
due,0.6043607545978018
structure,0.6038482738628933
scratch,0.6021053872623567
haiyan,0.601771558251269
changed,0.6009924969575768
hard,0.5994672769492396
hill,0.5989110667435187
die,0.5987450579252899
hopeless,0.5982535094699333
blocked,0.5964409833076251
race,0.5947721636332988
flooded,0.5944165477577955
phone,0.5933860871565463
cooking,0.5927457487793816
toppled,0.5926933342608488
eah,0.5926618724818407
working,0.5902950519808973
survived,0.5893588475319629
november,0.5863140021134368
soaked,0.5858010469611602
compared,0.5851976718653362
driving,0.5840591499876842
along,0.583807183003064
husband,0.581459243625177
finally,0.5809077566207207
screaming,0.5803514535968585
gymnasium,0.5778981307308251
shelter,0.5778256606387211
return,0.5775193737231238
without,0.576006022402189
highway,0.5745445406123136
cracks,0.5717284490093659
bit,0.5695711192041084
walked,0.5694759315101184
great,0.5683340499568634
wahine,0.5682002317988677
face,0.5670420920584874
coast,0.5667421323250308
window,0.5665262234898658
experiences,0.5657443283044673
find,0.5640972330657603
months,0.5634565833929333
continued,0.5622971696091966
may,0.5621535676833196
siblings,0.5610728148925201
fuher,0.5609085571293972
past,0.5607683987174885
several,0.5557497075480686
emergency,0.555103943578266
hold,0.5546571075191336
documents,0.5546532397833197
bay,0.5541204029473652
ill,0.5528015993471422
south,0.552575614164596
daughter,0.5521704920865462
moments,0.5517511113459269
public,0.5509997908095147
suddenly,0.5492794564698451
coastal,0.5470317668047787
numb,0.5459137752581571
leaves,0.5457461245680494
five,0.5449648899420751
stuck,0.5448679282105081
rest,0.5444271823530201
inangahua,0.5441814753928345
realized,0.5432266973900342
cousins,0.5430697412925011
vehicles,0.5427885240817182
body,0.542580343838186
passed,0.5421942344355254
break,0.540980954232922
peninsula,0.5398080027743359
praying,0.5391775878701855
pretty,0.5384757751294765
east,0.5378029145180309
municipalities,0.5364121913922572
surrounding,0.535580066718764
province,0.5355653363201537
civic,0.5319941603269491
screamed,0.531347257426709
show,0.5309310360945452
business,0.5309005558336118
schools,0.5284517519837452
rampant,0.5241809569957528
cant,0.5238959162486514
viaduct,0.5226191078609821
top,0.5223174111599417
clothes,0.5222055901109407
thrown,0.5215753479126287
ceilings,0.5190028133938972
happening,0.5177536852363005
moving,0.5173828116713406
noone,0.5173098786793422
youre,0.5158537463471441
restored,0.5147280112206671
seconds,0.5146277872063697
zealand,0.5127568131683579
barangay,0.5123237459604071
placed,0.5114965438431405
feet,0.5100693490152042
smashed,0.5095041903508989
provide,0.5092397530025465
james,0.5085372380994013
managed,0.5081198245459667
shook,0.5075838612137809
became,0.5075522241043068
together,0.5066494698815325
paper,0.5046365699279793
followed,0.5034345029847461
green,0.5031407938228459
playing,0.5030632080407134
carried,0.5026493966399744
heavy,0.502624819990243
pm,0.5017453689311027
held,0.5015627236798016
evacuated,0.4989170374500276
staying,0.49825597329501226
incredible,0.4971263782872357
diaz,0.495301952401963
actually,0.49511922814107273
tacloban,0.49458629500401924
keep,0.49394379025802587
forget,0.4937020206850863
noh,0.49367457455772945
aftershocks,0.4934030340525395
closed,0.49333333765224635
crops,0.4923672881841681
chimneys,0.4905698778368438
april,0.4898068946573108
put,0.48962584700867534
nearby,0.48947603273229556
senior,0.4893785643871196
usual,0.4886421283952134
subsided,0.4865670430727596
chimney,0.48578675894626844
fine,0.4853954748645053
danger,0.4849600957554454
sho,0.4843493842994212
fallen,0.48352856492015867
merguita,0.483507133606131
wellington,0.4834162851400405
yelling,0.4833129306283537
municipality,0.4824557046038923
esorcadas,0.48169148327147393
miss,0.48088113754300477
staff,0.4802331784191851
case,0.4793776402854106
among,0.47887794594580696
ready,0.47808603518682696
cliff,0.4768787142143481
yearold,0.47593231202837133
challenging,0.47583372806506447
spent,0.47532158572246413
least,0.4748522344707819
helped,0.47126284688414377
flat,0.4708171060104383
harbour,0.47022995078382135
tore,0.4701775388788127
lying,0.4699128795586764
best,0.4697821558712973
torn,0.46674064304975416
items,0.46552014464831004
ones,0.46547866760867634
napier,0.4652761507824993
official,0.46480141193127844
always,0.46465683692071663
wont,0.4638761487959612
better,0.46295402912908096
